CODE;FR
03211000-3;Céréales
03211100-4;Blé
03211110-7;Blé dur
03211120-0;Blé tendre
03211200-5;Maïs
03211300-6;Riz
03211400-7;Orge
03211500-8;Seigle
03211600-9;Avoine
03211700-0;Malt
03211900-2;Produits à graines
03212000-0;Pommes de terre et légumes secs
03212100-1;Pommes de terre
03212200-2;Légumes secs à cosse et à gousse
03212210-5;Légumes secs à cosse
03212211-2;Lentilles
03212212-9;Pois chiches
03212213-6;Pois secs
03212220-8;Légumes à gousse
03220000-9;Légumes, fruits et noix
03221000-6;Légumes
03221100-7;Légumes-racines et légumes-tubercules
03221110-0;Légumes-racines
03221111-7;Betteraves
03221112-4;Carottes
03221113-1;Oignons
03221114-8;Navets
03221120-3;Légumes-tubercules
03221200-8;Légumes-fruits
03221210-1;Haricots
03221211-8;Fèves
03221212-5;Haricots verts
03221213-2;Haricots d'Espagne
03221220-4;Pois
03221221-1;Petits pois
03221222-8;Mange-tout
03221230-7;Poivrons
03221240-0;Tomates
03221250-3;Courgettes
03221260-6;Champignons
03221270-9;Concombres
03221300-9;Légumes à feuilles
03221310-2;Laitues
03221320-5;Feuilles de salade
03221330-8;Artichauts
03221340-1;Épinards
03221400-0;Choux
03221410-3;Choux blancs
03221420-6;Choux-fleurs
03221430-9;Brocolis
03221440-2;Choux de Bruxelles
03222000-3;Fruits et fruits à coque
03222100-4;Fruits et fruits à coque tropicaux
03222110-7;Fruits tropicaux
03222111-4;Bananes
03222112-1;Ananas
03222113-8;Mangues
03222114-5;Dattes
03222115-2;Raisins secs
03222116-9;Figues
03222117-6;Avocats
03222118-3;Kiwis
03222120-0;Noix de coco
03222200-5;Agrumes
03222210-8;Citrons
03222220-1;Oranges
03222230-4;Pamplemousses
03222240-7;Tangerines
03222250-0;Citrons verts
03222300-6;Fruits non tropicaux
03222310-9;Baies
03222311-6;Raisins secs de Corinthe
03222312-3;Groseilles à maquereau
03222313-0;Fraises
03222314-7;Framboises
03222315-4;Canneberges
03222320-2;Pommes, poires et coings
03222321-9;Pommes
03222322-6;Poires
03222323-3;Coings
03222330-5;Fruits à noyau
03222331-2;Abricots
03222332-9;Pêches
03222333-6;Cerises
03222334-3;Prunes
03222340-8;Raisins
03222341-5;Raisins de table
03222342-2;Raisins de cuve
03222400-7;Olives
03300000-2;Produits agricoles, de la chasse et de la pêche
03310000-5;Poissons, crustacés et produits aquatiques
03311000-2;Poissons
03311100-3;Poissons plats
03311110-6;Sole
03311120-9;Plie
03311200-4;Poissons de la famille des gatidés
03311210-7;Morue
03311220-0;Lieu
03311230-3;Merlu
03311240-6;Haddock
03311300-5;Hareng
03311400-6;Thon
03311500-7;Merlan
03311600-8;Blanquet
03311700-9;Saumon
03312000-9;Crustacés
03312100-0;Huîtres
03312200-1;Coquillages
03312300-2;Invertébrés aquatiques
03313000-6;Produits aquatiques
03313100-7;Corail ou produits similaires
03313200-8;Éponges naturelles
03313300-9;Algues marines
03313310-2;Algues
03320000-8;Bétail, cheptel et petits animaux
03321000-5;Bétail
03321100-6;Bovins
03321200-7;Veaux
03322000-2;Cheptel
03322100-3;Moutons
03322200-4;Chèvres
03322300-5;Chevaux
03323000-9;Suidés
03324000-6;Volaille vivante
03325000-3;Petits animaux
03325100-4;Lapins
03325200-5;Lièvres
03330000-3;Produits des animaux d'élévage
03331000-0;Lait frais de brebis et de chèvre
03331100-1;Lait de brebis
03331200-2;Lait de chèvre
03332000-7;Laine et poils
03332100-8;Laine de tonte
03332200-9;Poil
03333000-4;Lait de vache frais
03340000-6;Marques auriculaires pour animaux
03341000-3;Marques auriculaires pour bovins
03400000-4;Produits de la sylviculture et de l'exploitation forestière
03410000-7;Bois
03411000-4;Bois de conifères
03412000-1;Bois tropical
03413000-8;Bois de chauffage
03414000-5;Bois brut
03415000-2;Bois tendre
03416000-9;Chutes de bois
03417000-6;Copeaux de bois
03417100-7;Sciure de bois
03418000-3;Grumes
03418100-4;Bois dur
03419000-0;Bois d'œuvre
03419100-1;Produits du bois
03419200-2;Bois de mine
03420000-0;Gommes
03421000-7;Baumes
03422000-4;Laque
03430000-3;Liège
03431000-0;Liège naturel
03432000-7;Vannerie
03432100-8;Sparterie
03440000-6;Produits de la sylviculture
03441000-3;Plantes, graminées, mousses ou lichens d'ornement
03450000-9;Produits de pépinière
03451000-6;Plantes
03451100-7;Plantes à repiquer
03451200-8;Bulbes de fleurs
03451300-9;Arbustes
03452000-3;Arbres
03460000-2;Pâte à papier
03461000-9;Pâte de bois
03461100-0;Pâte de bois chimique
09000000-3;Produits pétroliers, combustibles, électricité et autres sources d'énergie
09100000-0;Combustibles
09110000-3;Combustibles solides
09111000-0;Charbon et combustibles à base de charbon
09111100-1;Charbon
09111200-2;Combustibles dérivés du charbon
09111210-5;Charbon maigre
09111220-8;Briquettes
09111300-3;Combustibles fossiles
09111400-4;Combustibles à base de bois
09112000-7;Lignite et tourbe
09112100-8;Lignite
09112200-9;Tourbe
09113000-4;Coke
09120000-6;Combustibles gazeux
09121000-3;Gaz de houille, gaz de ville ou gaz similaires
09121100-4;Gaz de houille ou gaz similaires
09121200-5;Gaz de ville
09122000-0;Propane et butane
09122100-1;Gaz propane
09122110-4;Propane liquéfié
09122200-2;Gaz butane
09122210-5;Butane liquéfié
09123000-7;Gaz naturel
09130000-9;Pétrole et distillats
09131000-6;Kérosène aviation
09131100-7;Carburéacteurs de type kérosène
09132000-3;Essence
09132100-4;Essence sans plomb
09132200-5;Essence au plomb
09132300-6;Essence à l'éthanol
09133000-0;Gaz de pétrole liquéfié (LPG)
09134000-7;Gasoils
09134100-8;Huile diesel
09134200-9;Carburant diesel
09134210-2;Carburant diesel (02)
09134220-5;Carburant diesel (EN 590)
09134230-8;Biodiesel
09134231-5;Biodiesel (B20)
09134232-2;Biodiesel (B100)
09135000-4;Mazout
09135100-5;Fioul domestique
09135110-8;Huiles combustibles à basse teneur en soufre
09200000-1;Produits pétroliers, charbon et huiles
09210000-4;Préparations lubrifiantes
09211000-1;Huiles lubrifiantes et agents lubrifiants
09211100-2;Huiles pour moteurs
09211200-3;Huiles pour compresseurs
09211300-4;Huiles pour turbines
09211400-5;Huiles pour engrenages
09211500-6;Huiles pour réducteurs
09211600-7;Huiles destinées aux systèmes hydrauliques et à d'autres usages
09211610-0;Liquides à usage hydraulique
09211620-3;Huiles de démoulage
09211630-6;Huiles anticorrosives
09211640-9;Huiles utilisées comme isolants électriques
09211650-2;Liquides de frein
09211700-8;Huiles blanches et paraffines liquides
09211710-1;Huiles blanches
09211720-4;Paraffines liquides
09211800-9;Huiles minérales et préparations dérivées du pétrole
09211810-2;Huiles légères
09211820-5;Huiles minérales
09211900-0;Huiles lubrifiantes pour traction
09220000-7;Vaseline, cires de pétrole et essences spéciales
09221000-4;Vaseline et cire de pétrole
09221100-5;Vaseline
09221200-6;Paraffine
09221300-7;Cire de pétrole
09221400-8;Résidus de pétrole
09222000-1;Essences spéciales
09222100-2;White-spirit
09230000-0;Pétrole (brut)
09240000-3;Huile et produits dérivés du charbon
09241000-0;Schiste bitumineux ou kérobitumeux
09242000-7;Produits dérivés du charbon
09242100-8;Huile lourde de houille
09300000-2;Électricité, chauffage, énergie solaire et nucléaire
09310000-5;Électricité
09320000-8;Vapeur, eau chaude et produits connexes
09321000-5;Eau chaude
09322000-2;Vapeur
09323000-9;Chauffage urbain
09324000-6;Chauffage fourni à grande distance
09330000-1;Énergie solaire
09331000-8;Panneaux solaires
09331100-9;Capteurs solaires pour la production de chaleur
09331200-0;Modules solaires photovoltaïques
09332000-5;Installation solaire
09340000-4;Combustibles nucléaires
09341000-1;Uranium
09342000-8;Plutonium
09343000-5;Matériaux radioactifs
09344000-2;Radio-isotopes
14000000-1;Produits d'exploitation des mines, métaux de base et produits connexes
14200000-3;Sable et argile
14210000-6;Gravier, sable, pierre concassée et agrégats
14211000-3;Sable
14211100-4;Sable naturel
14212000-0;Granulés, gravillons, sable fin, cailloux, gravier, pierraille et pierre concassée, mélanges de pierres, de grave et autres agrégats
14212100-1;Cailloux et gravier
14212110-4;Cailloux
14212120-7;Gravier
14212200-2;Agrégats
14212210-5;Grave
14212300-3;Pierraille et pierre concassée
14212310-6;Ballast
14212320-9;Granit concassé
14212330-2;Basalte concassé
14212400-4;Terre
14212410-7;Terre végétale
14212420-0;Sous-sol
14212430-3;Gravillons
14213000-7;Macadam, tarmacadam et sable bitumineux
14213100-8;Macadam
14213200-9;Tarmacadam
14213300-0;Sable bitumineux
14220000-9;Argile et kaolin
14221000-6;Argile
14222000-3;Kaolin
14300000-4;Produits inorganiques chimiques et engrais minéraux
14310000-7;Engrais minéraux
14311000-4;Calcium naturel, phosphate aluminocalcique et sels de potassium naturel brut
14311100-5;Calcium naturel
14311200-6;Phosphates aluminocalciques
14311300-7;Sels de potassium naturel brut
14312000-1;Pyrites de fer
14312100-2;Pyrites de fer non grillées
14320000-0;Produits inorganiques chimiques
14400000-5;Sel et chlorure de sodium pur
14410000-8;Sel gemme
14420000-1;Sel marin
14430000-4;Sel concentré par évaporation et chlorure de sodium pur
14450000-0;Saumure
14500000-6;Produits connexes d'exploitation de mines et de carrières
14520000-2;Pierres précieuses et semi-précieuses, pierre ponce, émeri, abrasifs naturels, autres minéraux et métaux précieux
14521000-9;Pierres précieuses et semi-précieuses
14521100-0;Pierres précieuses
14521140-2;Poussière ou poudre de pierres précieuses
14521200-1;Pierres semi-précieuses
14521210-4;Poussière ou poudre de pierres semi-précieuses
14522000-6;Diamants industriels, pierre ponce, émeri et autres abrasifs naturels
14522100-7;Pierre ponce
14522200-8;Diamants industriels
14522300-9;Émeri
14522400-0;Abrasifs naturels
14523000-3;Minéraux, métaux précieux connexes et produits associés
14523100-4;Minéraux
14523200-5;Or
14523300-6;Argent
14523400-7;Platine
14600000-7;Minerais de métaux et alliages
14610000-0;Minerais de métaux
14611000-7;Minerais de fer
14612000-4;Minerais de métaux non ferreux
14612100-5;Minerais de cuivre
14612200-6;Minerais de nickel
14612300-7;Minerais d'aluminium
14612400-8;Minerais de métaux précieux
14612500-9;Minerais de plomb
14612600-0;Minerais de zinc
14612700-1;Minerais d'étain
14613000-1;Minerais d'uranium et de thorium
14613100-2;Minerais d'uranium
14613200-3;Minerais de thorium
14614000-8;Minerais divers
14620000-3;Alliages
14621000-0;Ferroalliages
14621100-1;Ferroalliages hors CECA
14621110-4;Ferromanganèse
14621120-7;Ferrochrome
14621130-0;Ferronickel
14622000-7;Acier
14630000-6;Scories, laitier, déchets et débris ferreux
14700000-8;Métaux de base
14710000-1;Fer, plomb, zinc, étain et cuivre
14711000-8;Fer
14711100-9;Fonte brute
14712000-5;Plomb
14713000-2;Zinc
14714000-9;Étain
14715000-6;Cuivre
14720000-4;Aluminium, nickel, scandium, titane et vanadium
14721000-1;Aluminium
14721100-2;Oxyde d'aluminium
14722000-8;Nickel
14723000-5;Scandium
14724000-2;Titane
14725000-9;Vanadium
14730000-7;Chrome, manganèse, cobalt, yttrium et zirconium
14731000-4;Chrome
14732000-1;Manganèse
14733000-8;Cobalt
14734000-5;Yttrium
14735000-2;Zirconium
14740000-0;Molybdène, technétium, ruthénium et rhodium
14741000-7;Molybdène
14742000-4;Technétium
14743000-1;Ruthénium
14744000-8;Rhodium
14750000-3;Cadmium, lutétium, hafnium, tantale et tungstène
14751000-0;Cadmium
14752000-7;Lutétium
14753000-4;Hafnium
14754000-1;Tantale
14755000-8;Tungstène
14760000-6;Iridium, gallium, indium, thallium et barium
14761000-3;Iridium
14762000-0;Gallium
14763000-7;Indium
14764000-4;Thallium
14765000-1;Barium
14770000-9;Césium, strontium, rubidium et calcium
14771000-6;Césium
14772000-3;Strontium
14773000-0;Rubidium
14774000-7;Calcium
14780000-2;Potassium, magnésium, sodium et lithium
14781000-9;Potassium
14782000-6;Magnésium
14783000-3;Sodium
14784000-0;Lithium
14790000-5;Niobium, osmium, rhénium et palladium
14791000-2;Niobium
14792000-9;Osmium
14793000-6;Rhénium
14794000-3;Palladium
14800000-9;Produits minéraux non métalliques divers
14810000-2;Produits abrasifs
14811000-9;Pierres à meuler, pierres à broyer et meules
14811100-0;Pierres à meuler
14811200-1;Pierres à broyer
14811300-2;Meules
14812000-6;Poudre ou grains abrasifs
14813000-3;Corindon artificiel
14814000-0;Graphite artificiel
14820000-5;Verre
14830000-8;Fibres de verre
14900000-0;Matières premières de récupération
14910000-3;Matières premières métalliques de récupération
14920000-6;Matières premières non métalliques de récupération
14930000-9;Cendres et résidus contenant des métaux
15000000-8;Produits alimentaires, boissons, tabac et produits connexes
15100000-9;Produits de l'élevage, viande et produits à base de viande
15110000-2;Viande
15111000-9;Viande bovine
15111100-0;Viande de bœuf
15111200-1;Viande de veau
15112000-6;Volaille
15112100-7;Volaille fraîche
15112110-0;Oies
15112120-3;Dindes
15112130-6;Poulets
15112140-9;Canards
15112300-9;Foies de volaille
15112310-2;Foie gras
15113000-3;Viande de porc
15114000-0;Abats
15115000-7;Viande d'agneau et de mouton
15115100-8;Viande d'agneau
15115200-9;Viande de mouton
15117000-1;Viande de chèvre
15118000-8;Viande de cheval, d'âne, de mule ou de bardot
15118100-9;Viande de cheval
15118900-7;Viande d'âne, de mule ou de bardot
15119000-5;Viandes diverses
15119100-6;Viande de lapin
15119200-7;Viande de lièvre
15119300-8;Gibier
15119400-9;Cuisses de grenouilles
15119500-0;Pigeons
15119600-1;Chair de poisson
15130000-8;Produits à base de viande
15131000-5;Conserves et préparations à base de viande
15131100-6;Produits à base de chair à saucisse
15131110-9;Chair à saucisse
15131120-2;Charcuterie
15131130-5;Saucisses
15131134-3;Boudin noir et autres saucisses à base de sang
15131135-0;Saucisses de volaille
15131200-7;Viande séchée, salée, fumée ou assaisonnée
15131210-0;Jambon fumé
15131220-3;Lard
15131230-6;Salami
15131300-8;Préparations à base de foie
15131310-1;Pâté
15131320-4;Préparations à base de foie d'oie ou de canard
15131400-9;Produits à base de porc
15131410-2;Jambon
15131420-5;Boulettes de viande
15131490-6;Plats préparés de porc
15131500-0;Produits à base de volaille
15131600-1;Produits à base de bœuf et de veau
15131610-4;Boulettes de bœuf
15131620-7;Viande de bœuf hachée
15131640-3;Steaks hachés de bœuf
15131700-2;Préparations à base de viande
15200000-0;Poisson préparé et conserves de poisson
15210000-3;Filets de poisson, foie et œufs ou laitance de poisson
15211000-0;Filets de poisson
15211100-1;Filets de poisson frais
15212000-7;Œufs ou laitance de poisson
15213000-4;Foie de poisson
15220000-6;Poisson, filets de poisson et autre chair de poisson congelés
15221000-3;Poisson congelé
15229000-9;Produits congelés à base de poisson
15230000-9;"Poisson séché ou salé; poisson en saumure; poisson fumé"
15231000-6;Poisson séché
15232000-3;Poisson salé
15233000-0;Poisson en saumure
15234000-7;Poisson fumé
15235000-4;Conserves de poisson
15240000-2;Poisson en conserve ou en boîte et autres poissons préparés ou en conserve
15241000-9;Poisson pané ou autrement enrobé, en conserve ou en boîte
15241100-0;Saumon en conserve
15241200-1;Hareng préparé ou en conserve
15241300-2;Sardines
15241400-3;Thon en conserve
15241500-4;Maquereaux
15241600-5;Anchois
15241700-6;Bâtonnets de poisson
15241800-7;Préparations à base de poisson pané ou autrement enrobé
15242000-6;Plats préparés de poisson
15243000-3;Préparations à base de poisson
15244000-0;Caviar et œufs de poissons
15244100-1;Caviar
15244200-2;Œufs de poissons
15250000-5;Fruits de mer
15251000-2;Crustacés congelés
15252000-9;Crustacés préparés ou en conserve
15253000-6;Produits à base de mollusques
15300000-1;Fruits, légumes et produits connexes
15310000-4;Pommes de terre et produits à base de pomme de terre
15311000-1;Pommes de terre congelées
15311100-2;Chips et pommes frites
15311200-3;Pommes de terre coupées en dés, en tranches et autres pommes de terre congelées
15312000-8;Produits à base de pommes de terre
15312100-9;Purée de pommes de terre instantanée
15312200-0;Pommes de terre préfrites
15312300-1;Pommes chips
15312310-4;Pommes chips aromatisées
15312400-2;Produits apéritifs à base de pommes de terre
15312500-3;Croquettes de pommes de terre
15313000-5;Pommes de terre transformées
15320000-7;Jus de fruits et de légumes
15321000-4;Jus de fruits
15321100-5;Jus d'orange
15321200-6;Jus de pamplemousse
15321300-7;Jus de citron
15321400-8;Jus d'ananas
15321500-9;Jus de raisin
15321600-0;Jus de pomme
15321700-1;Mélanges de jus non concentrés
15321800-2;Jus concentrés
15322000-1;Jus de légumes
15322100-2;Jus de tomate
15330000-0;Fruits et légumes transformés
15331000-7;Légumes transformés
15331100-8;Légumes frais ou congelés
15331110-1;Légumes-racines transformés
15331120-4;Légumes-tubercules transformés
15331130-7;Haricots, pois, poivrons, tomates et autres légumes
15331131-4;Haricots transformés
15331132-1;Pois transformés
15331133-8;Pois cassés
15331134-5;Tomates transformées
15331135-2;Champignons transformés
15331136-9;Poivrons transformés
15331137-6;Germes de soja
15331138-3;Truffes
15331140-0;Légumes à feuilles et choux
15331142-4;Choux transformés
15331150-3;Légumes à cosse transformés
15331170-9;Légumes congelés
15331400-1;Légumes en conserve et/ou en boîte
15331410-4;Haricots à la sauce tomate
15331411-1;Haricots blancs à la sauce tomate
15331420-7;Tomates en conserve
15331423-8;Tomates en boîte
15331425-2;Purée de tomates
15331427-6;Concentré de tomates
15331428-3;Sauce tomate
15331430-0;Champignons en boîte
15331450-6;Olives transformées
15331460-9;Légumes en boîte
15331461-6;Choucroute en boîte
15331462-3;Pois en boîte
15331463-0;Haricots écossés en boîte
15331464-7;Haricots entiers en boîte
15331465-4;Asperges en boîte
15331466-1;Olives en boîte
15331470-2;Maïs doux
15331480-5;Légumes ayant subi un traitement de conservation temporaire
15331500-2;Légumes conservés dans le vinaigre
15332000-4;Fruits et fruits à coque transformés
15332100-5;Fruits transformés
15332140-7;Pommes transformées
15332150-0;Poires transformées
15332160-3;Bananes transformées
15332170-6;Rhubarbe
15332180-9;Melons
15332200-6;"Confitures et marmelades; gelées de fruits; purées et pâtes de fruits ou de fruits à coque"
15332230-5;Marmelades
15332231-2;Marmelade d'oranges
15332232-9;Marmelade de citrons
15332240-8;Gelées de fruits
15332250-1;Pâtes de fruits
15332260-4;Pâtes de fruits à coque
15332261-1;Beurre d'arachide
15332270-7;Purées de fruits
15332290-3;Confitures
15332291-0;Confiture d'abricots
15332292-7;Confiture de mûres
15332293-4;Confiture de cassis
15332294-1;Confiture de cerises
15332295-8;Confiture de framboises
15332296-5;Confiture de fraises
15332300-7;Fruits à coque transformés
15332310-0;Fruits à coque grillés ou salés
15332400-8;Conserves de fruits
15332410-1;Fruits secs
15332411-8;Raisins secs de Corinthe transformés
15332412-5;Raisins transformés
15332419-4;Sultanines
15333000-1;Sous-produits végétaux
15400000-2;Huiles et graisses animales ou végétales
15410000-5;Huiles et graisses animales ou végétales brutes
15411000-2;Huiles animales ou végétales
15411100-3;Huiles végétales
15411110-6;Huile d'olive
15411120-9;Huile de sésame
15411130-2;Huile d'arachide
15411140-5;Huile de coco
15411200-4;Huile de cuisson
15411210-7;Huile de friture
15412000-9;Graisses
15412100-0;Graisses animales
15412200-1;Graisses végétales
15413000-6;Résidus solides de graisses ou huiles végétales
15413100-7;Tourteaux
15420000-8;Huiles et graisses raffinées
15421000-5;Huiles raffinées
15422000-2;Graisses raffinées
15423000-9;Graisses ou huiles hydrogénées ou estérifiées
15424000-6;Cires végétales
15430000-1;Graisses comestibles
15431000-8;Margarine et préparations similaires
15431100-9;Margarine
15431110-2;Margarine liquide
15431200-0;Pâtes à tartiner allégées ou à faible teneur en matières grasses
15500000-3;Produits laitiers
15510000-6;Lait et crème fraîche
15511000-3;Lait
15511100-4;Lait pasteurisé
15511200-5;Lait stérilisé
15511210-8;Lait UHT
15511300-6;Lait écrémé
15511400-7;Lait demi-écrémé
15511500-8;Lait entier
15511600-9;Lait condensé
15511700-0;Lait en poudre
15512000-0;Crème fraîche
15512100-1;Crème fraîche liquide
15512200-2;Crème fraîche épaisse
15512300-3;Crème épaisse
15512900-9;Crème fraîche à fouetter
15530000-2;Beurre
15540000-5;Fromages
15541000-2;Fromage de table
15542000-9;Fromage frais
15542100-0;Cottage cheese
15542200-1;Fromage à pâte molle
15542300-2;Feta
15543000-6;Fromage râpé, en poudre, bleu et autre fromage
15543100-7;Fromage à pâte bleue
15543200-8;Cheddar
15543300-9;Fromage râpé
15543400-0;Parmesan
15544000-3;Fromage à pâte dure
15545000-0;Fromage à tartiner
15550000-8;Produits laitiers divers
15551000-5;Yaourt et autres produits laitiers fermentés
15551300-8;Yaourt
15551310-1;Yaourt nature
15551320-4;Yaourt aromatisé
15551500-0;Babeurre
15552000-2;Caséine
15553000-9;Lactose ou sirop de lactose
15554000-6;Petit-lait
15555000-3;Crème glacée et produits similaires
15555100-4;Crème glacée
15555200-5;Sorbet
15600000-4;Produits de la minoterie, amidon et produits amylacés
15610000-7;Produits de la minoterie
15611000-4;Riz décortiqué
15612000-1;Farine de céréales ou farine végétale et produits connexes
15612100-2;Farine de blé
15612110-5;Farine complète
15612120-8;Farine de boulangerie
15612130-1;Farine sans levure
15612150-7;Farine de pâtisserie
15612190-9;Farine fermentante
15612200-3;Farine de céréales
15612210-6;Farine de maïs
15612220-9;Farine de riz
15612300-4;Farines végétales
15612400-5;Mélanges utilisés pour la préparation de produits de boulangerie
15612410-8;Préparations pour gâteaux
15612420-1;Préparations à cuire au four
15612500-6;Produits de boulangerie
15613000-8;Produits à base de grains de céréales
15613100-9;Gruaux
15613300-1;Produits céréaliers
15613310-4;Céréales pour petit déjeuner
15613311-1;Flocons de maïs
15613313-5;Muesli ou équivalent
15613319-7;Blé soufflé
15613380-5;Flocons d'avoine
15614000-5;Riz transformé
15614100-6;Riz à grains longs
15614200-7;Riz usiné
15614300-8;Brisures de riz
15615000-2;Son
15620000-0;Amidons et produits amylacés
15621000-7;Huile de maïs
15622000-4;Glucose et produits à base de glucose, de fructose et produits à base de fructose
15622100-5;Glucose et produits à base de glucose
15622110-8;Glucose
15622120-1;Sirop de glucose
15622300-7;Fructose et produits à base de fructose
15622310-0;Fructose
15622320-3;Préparations à base de fructose
15622321-0;Solutions de fructose
15622322-7;Sirop de fructose
15623000-1;Amidons et fécules
15624000-8;Tapioca
15625000-5;Semoule
15626000-2;Poudre pour pudding
15700000-5;Aliments pour animaux
15710000-8;Aliments prêts à l'emploi pour animaux d'élevage et autres animaux
15711000-5;Nourriture pour poissons
15712000-2;Fourrage sec
15713000-9;Aliments pour animaux de compagnie
15800000-6;Produits alimentaires divers
15810000-9;Produits de panification, pâtisserie fraîche et gâteaux
15811000-6;Produits de panification
15811100-7;Pain
15811200-8;Petits pains
15811300-9;Croissants
15811400-0;Petites crêpes épaisses
15811500-1;Produits de panification préparés
15811510-4;Sandwichs
15811511-1;Sandwichs préparés
15812000-3;Pâtisserie et gâteaux
15812100-4;Pâtisserie
15812120-0;Tourtes
15812121-7;Tourtes salées
15812122-4;Tourtes sucrées
15812200-5;Gâteaux
15813000-0;Aliments pour petit déjeuner
15820000-2;"Biscottes et biscuits; pâtisserie et gâteaux de conservation"
15821000-9;Produits de panification grillés et pâtisserie
15821100-0;Produits de panification grillés
15821110-3;Pain grillé
15821130-9;Pain croustillant dit Knaeckebrot
15821150-5;Biscottes
15821200-1;Biscuits sucrés
15830000-5;Sucre et produits connexes
15831000-2;Sucre
15831200-4;Sucre blanc
15831300-5;Sucre d'érable et sirop d'érable
15831400-6;Mélasse
15831500-7;Sirops de sucre
15831600-8;Miel
15832000-9;Déchets provenant de la fabrication du sucre
15833000-6;Produits à base de sucre
15833100-7;Desserts
15833110-0;Fonds de tartes
15840000-8;"Cacao; chocolat et sucreries"
15841000-5;Cacao
15841100-6;Pâte de cacao
15841200-7;Beurre, graisse ou huile de cacao
15841300-8;Poudre de cacao non sucrée
15841400-9;Poudre de cacao sucrée
15842000-2;Chocolat et sucreries
15842100-3;Chocolat
15842200-4;Produits à base de chocolat
15842210-7;Boisson chocolatée
15842220-0;Barres de chocolat
15842300-5;Confiserie
15842310-8;Bonbons
15842320-1;Nougat
15842400-6;Fruits, fruits à coque ou écorces de fruits confits au sucre
15850000-1;Pâtes alimentaires
15851000-8;Produits farinacés
15851100-9;Pâtes alimentaires non cuites
15851200-0;Pâtes alimentaires préparées et couscous
15851210-3;Pâtes alimentaires préparées
15851220-6;Pâtes alimentaires farcies
15851230-9;Lasagnes
15851250-5;Couscous
15851290-7;Pâtes alimentaires en conserve
15860000-4;Café, thé et produits connexes
15861000-1;Café
15861100-2;Café torréfié
15861200-3;Café décaféiné
15862000-8;Succédanés de café
15863000-5;Thé
15863100-6;Thé vert
15863200-7;Thé noir
15864000-2;Préparations de thé ou de maté
15864100-3;Thé en sachets
15865000-9;Infusions
15870000-7;Condiments et assaisonnements
15871000-4;"Vinaigre; sauces; condiments composés; farine et poudre de moutarde; moutarde préparée"
15871100-5;Vinaigre et succédanés de vinaigre
15871110-8;Vinaigre ou équivalent
15871200-6;Sauces, condiments et assaisonnements composés
15871210-9;Sauce soja
15871230-5;Ketchup
15871250-1;Moutarde
15871260-4;Sauces
15871270-7;Condiments composés
15871273-8;Mayonnaise
15871274-5;Pâtes à tartiner pour sandwichs
15871279-0;Chutney
15872000-1;Herbes et épices
15872100-2;Poivre
15872200-3;Épices
15872300-4;Herbes
15872400-5;Sel
15872500-6;Gingembre
15880000-0;Produits nutritionnels spéciaux
15881000-7;Préparations alimentaires homogénéisées
15882000-4;Produits diététiques
15884000-8;Aliments pour nourrissons
15890000-3;Produits alimentaires et produits secs divers
15891000-0;Soupes et bouillons
15891100-1;Soupes à base de viande
15891200-2;Soupes à base de poisson
15891300-3;Soupes composées
15891400-4;Soupes
15891410-7;Soupes instantanées
15891500-5;Bouillons
15891600-6;Fonds
